Student Name,Attendance %,Internal Marks,Final Marks,Assignment Scores,Extra Activities,Family Income,Internet Access,Study Hours,Placement Status,Average Score,Risk Category,Performance_Level
Elizabeth Robinson,78.1,52,70,84,Sports,23682.0,No,6.7,Placed,68.66666666666667,safe,Average
Linda Ramirez,73.6,47,65,59,Music,48021.0,Yes,4.9,Placed,57.0,Need Improvement,Average
Jacob Lopez,69.0,62,73,82,NCC,32290.0,Yes,4.1,Placed,72.33333333333333,safe,Good
Sarah Robinson,86.6,83,90,93,Sports,64702.0,No,8.4,Placed,88.66666666666667,safe,Excellent
Ryan Johnson,69.8,72,81,97,Sports,54358.0,Yes,7.4,Placed,83.33333333333333,safe,Good
Gary Taylor,83.2,73,82,78,NCC,49538.0,Yes,6.6,Placed,77.66666666666667,safe,Good
Nicholas Miller,87.3,60,90,69,Volunteer,100736.0,Yes,5.2,Not Placed,73.0,safe,Good
Andrew Sanchez,67.6,71,62,81,Debate,29755.0,No,6.0,Placed,71.33333333333333,safe,Good
Joshua Martin,58.0,53,60,67,Debate,124197.0,Yes,6.0,Placed,60.0,safe,Average
Cynthia Moore,77.6,64,89,94,NCC,87086.0,Yes,6.3,Placed,82.33333333333333,safe,Good
Nancy Scott,66.7,65,82,93,Debate,113764.0,Yes,7.3,Placed,80.0,safe,Good
Jason Torres,79.1,60,65,92,Sports,99470.0,No,8.1,Placed,72.33333333333333,safe,Good
Cynthia Garcia,75.3,51,56,52,NCC,27794.0,Yes,2.3,Not Placed,53.0,Need Improvement,Average
William Allen,87.8,72,64,81,Volunteer,116650.0,Yes,5.1,Placed,72.33333333333333,safe,Good
Emma Thompson,92.3,92,96,91,Music,109572.0,Yes,7.2,Placed,93.0,safe,Excellent
Melissa Clark,74.8,68,68,74,Debate,57536.0,Yes,5.8,Placed,70.0,safe,Good
Lisa Hill,74.3,37,34,52,Sports,31561.0,Yes,4.6,Not Placed,41.0,Need Improvement,Poor
Richard Clark,91.7,34,54,65,Music,76669.0,No,4.7,Not Placed,51.0,Need Improvement,Average
Michelle Perez,64.9,75,75,95,Sports,86298.0,No,7.1,Placed,81.66666666666667,safe,Good
David Martinez,79.9,51,67,67,Debate,95539.0,Yes,4.8,Placed,61.666666666666664,safe,Average
Daniel Gonzalez,75.9,51,57,77,Music,78604.0,Yes,5.6,Not Placed,61.666666666666664,safe,Average
Cynthia Miller,75.8,46,57,54,Volunteer,80412.0,Yes,4.8,Not Placed,52.333333333333336,Need Improvement,Average
Kevin Walker,100.0,92,98,100,Sports,84822.0,No,9.2,Placed,96.66666666666667,safe,Excellent
Sandra Scott,100.0,69,83,59,Volunteer,19260.0,Yes,5.3,Placed,70.33333333333333,safe,Good
Linda Harris,81.8,77,89,99,Debate,68226.0,Yes,7.3,Placed,88.33333333333333,safe,Excellent
Richard Lewis,81.0,88,88,100,Sports,64003.0,Yes,9.9,Placed,92.0,safe,Excellent
Gary Wright,80.7,36,44,64,Debate,52216.0,Yes,4.6,Not Placed,48.0,Need Improvement,Poor
Robert Young,85.6,54,59,51,Volunteer,63124.0,Yes,3.4,Not Placed,54.666666666666664,Need Improvement,Average
Donna Hernandez,69.3,59,51,77,Sports,74662.0,Yes,6.8,Not Placed,62.333333333333336,safe,Average
Joseph Robinson,95.1,53,69,68,NCC,48098.0,No,5.8,Placed,63.333333333333336,safe,Average
Jason Sanchez,74.8,47,70,74,Music,44589.0,Yes,4.4,Placed,63.666666666666664,safe,Average
Laura Anderson,72.3,53,65,43,Volunteer,61339.0,No,2.5,Placed,53.666666666666664,Need Improvement,Average
Edward Allen,78.0,87,88,100,Sports,45453.0,Yes,8.1,Placed,91.66666666666667,safe,Excellent
Elizabeth Taylor,74.7,78,78,100,Music,28719.0,Yes,9.5,Placed,85.33333333333333,safe,Excellent
Susan Miller,75.3,64,74,62,NCC,70381.0,No,5.7,Placed,66.66666666666667,safe,Average
Donna Brown,82.6,39,62,67,Sports,64702.0,No,4.0,Placed,56.0,Need Improvement,Average
Jason Scott,81.0,54,49,72,Sports,89875.0,No,5.4,Not Placed,58.333333333333336,Need Improvement,Average
Steven Thompson,86.0,89,93,97,Sports,50971.0,Yes,6.7,Placed,93.0,safe,Excellent
Jennifer White,84.2,57,76,56,NCC,90224.0,No,3.7,Placed,63.0,safe,Average
Stephanie Nguyen,67.4,32,43,53,NCC,64702.0,Yes,1.8,Not Placed,42.666666666666664,Need Improvement,Poor
John Hernandez,98.2,49,38,51,Music,64702.0,Yes,2.6,Not Placed,46.0,Need Improvement,Poor
Amy Thompson,66.0,45,65,79,Music,46954.0,Yes,4.7,Placed,63.0,safe,Average
Melissa Wilson,74.5,39,57,63,Sports,54291.0,No,4.2,Not Placed,53.0,Need Improvement,Average
Patricia Smith,75.1,100,98,100,Sports,69948.0,Yes,9.7,Placed,99.33333333333333,safe,Excellent
Stephanie Nguyen,88.1,73,71,44,Sports,8000.0,Yes,3.7,Placed,62.666666666666664,safe,Average
Gary Perez,68.8,49,65,53,Music,67299.0,No,4.0,Placed,55.666666666666664,Need Improvement,Average
Rebecca Nguyen,88.5,100,100,100,Sports,67845.0,Yes,10.0,Placed,100.0,safe,Excellent
Robert Rodriguez,76.6,48,70,67,Volunteer,91505.0,Yes,3.6,Not Placed,61.666666666666664,safe,Average
Nicholas Lee,85.8,61,69,67,Sports,44612.0,Yes,5.9,Placed,65.66666666666667,safe,Average
Joseph Scott,74.1,51,65,78,Music,86886.0,No,5.2,Placed,64.66666666666667,safe,Average
Sarah Thompson,81.4,66,83,92,Music,48691.0,No,8.0,Placed,80.33333333333333,safe,Good
Stephanie Robinson,74.3,85,81,100,Music,114850.0,Yes,8.3,Placed,88.66666666666667,safe,Excellent
Amy Walker,96.0,57,65,52,Debate,49055.0,No,3.5,Placed,58.0,Need Improvement,Average
Nicholas Wright,63.2,71,83,95,Music,31453.0,Yes,8.4,Placed,83.0,safe,Good
Lisa Rodriguez,87.3,48,49,54,Sports,55014.0,No,4.7,Not Placed,50.333333333333336,Need Improvement,Average
Emma Garcia,82.9,41,44,49,Volunteer,24127.0,No,4.2,Not Placed,44.666666666666664,Need Improvement,Poor
Brian Flores,82.7,38,68,69,Music,55859.0,Yes,3.9,Placed,58.333333333333336,Need Improvement,Average
Kenneth Walker,94.0,81,61,37,Sports,61427.0,No,3.5,Placed,59.666666666666664,Need Improvement,Average
Kevin Walker,73.4,69,76,75,Music,64702.0,Yes,6.2,Placed,73.33333333333333,safe,Good
Brian King,67.8,57,54,25,Debate,27413.0,Yes,3.0,Not Placed,45.333333333333336,Need Improvement,Poor
Lisa Scott,83.4,70,82,75,Volunteer,47149.0,Yes,6.1,Placed,75.66666666666667,safe,Good
Angela Nguyen,93.7,76,85,74,Sports,51222.0,Yes,6.3,Placed,78.33333333333333,safe,Good
Sandra Smith,63.8,77,78,93,Volunteer,52248.0,No,10.0,Placed,82.66666666666667,safe,Good
Lisa Clark,79.4,90,100,100,Debate,36184.0,No,9.9,Placed,96.66666666666667,safe,Excellent
Ryan Martinez,74.0,46,51,50,NCC,43150.0,Yes,3.5,Not Placed,49.0,Need Improvement,Poor
Richard Johnson,86.9,50,65,41,Music,76211.0,Yes,2.6,Placed,52.0,Need Improvement,Average
Paul Perez,85.1,100,87,100,Music,64702.0,Yes,9.1,Placed,95.66666666666667,safe,Excellent
Mary Martinez,80.0,62,65,62,Music,24280.0,Yes,5.0,Placed,63.0,safe,Average
Angela Scott,80.0,65,87,81,NCC,79527.0,Yes,5.7,Placed,77.66666666666667,safe,Good
Sharon Brown,78.7,52,90,67,Volunteer,58086.0,Yes,4.3,Placed,69.66666666666667,safe,Average
Michelle Moore,64.8,44,43,78,Music,67589.0,No,4.8,Not Placed,55.0,Need Improvement,Average
Edward Davis,65.1,46,61,93,Volunteer,114386.0,No,5.9,Placed,66.66666666666667,safe,Average
Mark Williams,54.2,73,85,100,Sports,52213.0,No,10.0,Placed,86.0,safe,Excellent
Karen Nguyen,81.8,75,82,100,Sports,45160.0,No,8.2,Placed,85.66666666666667,safe,Excellent
Betty Clark,71.9,57,70,67,Sports,64702.0,No,3.5,Placed,64.66666666666667,safe,Average
Melissa Walker,73.4,54,39,55,Sports,46750.0,Yes,3.6,Not Placed,49.333333333333336,Need Improvement,Poor
Richard Flores,80.0,59,59,66,Sports,107458.0,No,4.7,Not Placed,61.333333333333336,safe,Average
Sandra Young,78.1,43,44,41,Music,10225.0,Yes,4.3,Not Placed,42.666666666666664,Need Improvement,Poor
James Flores,85.4,37,53,57,NCC,97877.0,No,3.5,Not Placed,49.0,Need Improvement,Poor
Emma Jones,74.5,56,56,59,Music,46441.0,Yes,3.7,Not Placed,57.0,Need Improvement,Average
Melissa Sanchez,89.4,45,63,71,Music,77967.0,Yes,3.3,Placed,59.666666666666664,Need Improvement,Average
Gary Nguyen,77.2,59,60,60,Sports,16722.0,Yes,5.1,Placed,59.666666666666664,Need Improvement,Average
Sarah Ramirez,80.8,46,70,61,NCC,64702.0,Yes,4.9,Placed,59.0,Need Improvement,Average
Sandra Flores,70.0,85,91,88,Debate,41303.0,No,7.8,Placed,88.0,safe,Excellent
Ryan Lewis,74.2,63,79,90,Volunteer,74970.0,No,6.4,Placed,77.33333333333333,safe,Good
Sharon White,75.2,70,79,78,Volunteer,36945.0,Yes,5.2,Placed,75.66666666666667,safe,Good
Steven Taylor,81.2,47,60,79,Debate,8000.0,Yes,5.7,Placed,62.0,safe,Average
Mary King,58.6,48,70,57,Debate,64267.0,Yes,4.7,Not Placed,58.333333333333336,Need Improvement,Average
Jacob Wilson,79.1,67,75,82,NCC,8000.0,Yes,5.7,Placed,74.66666666666667,safe,Good
Steven Smith,73.9,54,69,65,Debate,85256.0,Yes,4.4,Placed,62.666666666666664,safe,Average
Melissa Wilson,99.7,85,89,72,Volunteer,44261.0,Yes,6.2,Placed,82.0,safe,Good
Angela Allen,86.3,68,0,74,NCC,106448.0,Yes,6.5,Placed,47.333333333333336,Need Improvement,Poor
Thomas Robinson,84.5,65,66,70,NCC,53229.0,No,5.3,Placed,67.0,safe,Average
Kevin Moore,72.5,87,88,100,Debate,54247.0,Yes,8.6,Placed,91.66666666666667,safe,Excellent
Jessica Thomas,100.0,36,59,53,Debate,45841.0,Yes,2.3,Not Placed,49.333333333333336,Need Improvement,Poor
Karen Sanchez,72.3,68,62,49,Debate,36133.0,Yes,4.6,Placed,59.666666666666664,Need Improvement,Average
Emily White,77.6,41,45,23,Debate,67209.0,No,1.6,Not Placed,36.333333333333336,At risk,Poor
Gary Lopez,73.0,66,65,76,Volunteer,60623.0,Yes,6.6,Placed,69.0,safe,Average
Ronald Anderson,64.4,71,70,100,Debate,57366.0,Yes,9.5,Placed,80.33333333333333,safe,Good
Angela Davis,83.9,46,63,56,Music,30555.0,Yes,3.2,Placed,55.0,Need Improvement,Average
Kenneth Gonzalez,79.5,68,80,92,Sports,52370.0,No,7.9,Placed,80.0,safe,Good
Amy Johnson,88.2,73,78,77,Debate,56723.0,Yes,5.8,Placed,76.0,safe,Good
Donna Wilson,99.8,52,58,26,Sports,118503.0,Yes,1.4,Not Placed,45.333333333333336,Need Improvement,Poor
Patricia Garcia,74.2,52,49,42,Sports,82634.0,Yes,4.6,Not Placed,47.666666666666664,Need Improvement,Poor
Patricia White,96.2,63,78,84,Sports,78318.0,No,6.5,Placed,75.0,safe,Good
Donna Jackson,92.2,42,44,47,NCC,64295.0,No,5.1,Not Placed,44.333333333333336,Need Improvement,Poor
William Martinez,63.7,48,52,74,NCC,103417.0,No,5.1,Not Placed,58.0,Need Improvement,Average
Joseph Walker,79.2,66,78,92,Sports,46717.0,Yes,7.0,Placed,78.66666666666667,safe,Good
George Allen,93.9,57,55,59,Sports,53419.0,No,5.1,Not Placed,57.0,Need Improvement,Average
Stephanie Torres,79.9,20,29,32,Music,76619.0,No,1.0,Not Placed,27.0,At risk,Poor
Sandra Lopez,72.6,71,78,69,Volunteer,79228.0,Yes,5.4,Placed,72.66666666666667,safe,Good
Patricia Torres,80.0,59,85,82,NCC,106570.0,Yes,5.1,Placed,75.33333333333333,safe,Good
Thomas Taylor,80.0,58,84,90,Sports,64631.0,Yes,5.1,Placed,77.33333333333333,safe,Good
Laura Martin,87.5,38,51,32,Debate,97276.0,Yes,1.4,Not Placed,40.333333333333336,Need Improvement,Poor
Mark Martin,95.0,69,93,100,Music,53160.0,Yes,8.6,Placed,87.33333333333333,safe,Excellent
Angela Martin,74.5,59,70,68,Debate,64702.0,Yes,6.3,Placed,65.66666666666667,safe,Average
Betty Rodriguez,92.4,59,53,94,Music,37287.0,No,5.6,Not Placed,68.66666666666667,safe,Average
Ronald Harris,66.5,44,46,45,Sports,63256.0,Yes,2.7,Not Placed,45.0,Need Improvement,Poor
Karen White,89.6,75,68,89,Sports,66177.0,Yes,7.5,Placed,77.33333333333333,safe,Good
Daniel Johnson,78.0,68,75,78,Music,34203.0,Yes,5.5,Placed,73.66666666666667,safe,Good
Elizabeth Jones,80.0,42,45,58,NCC,42402.0,No,4.1,Not Placed,48.333333333333336,Need Improvement,Poor
Michael Ramirez,77.8,53,57,54,Music,21454.0,Yes,5.2,Not Placed,54.666666666666664,Need Improvement,Average
Anthony Jones,97.0,53,66,60,Sports,57033.0,Yes,4.8,Placed,59.666666666666664,Need Improvement,Average
Karen King,69.6,65,69,60,Sports,37369.0,Yes,6.7,Placed,64.66666666666667,safe,Average
Joshua Johnson,75.1,67,92,100,Volunteer,64702.0,Yes,6.5,Placed,86.33333333333333,safe,Excellent
Michelle Scott,82.6,43,80,52,Debate,109873.0,Yes,3.9,Not Placed,58.333333333333336,Need Improvement,Average
Thomas Sanchez,78.2,66,90,87,NCC,75080.0,No,5.1,Placed,81.0,safe,Good
Mark Miller,80.0,41,49,47,Sports,52030.0,Yes,2.1,Not Placed,45.666666666666664,Need Improvement,Poor
Jennifer Walker,69.8,49,70,75,Volunteer,37850.0,Yes,4.3,Placed,64.66666666666667,safe,Average
Kimberly Moore,79.1,70,88,81,Sports,44014.0,No,6.3,Placed,79.66666666666667,safe,Good
Nancy Sanchez,67.1,57,61,60,Music,92910.0,Yes,5.7,Placed,59.333333333333336,Need Improvement,Average
George Davis,100.0,67,61,29,NCC,46157.0,Yes,1.0,Placed,52.333333333333336,Need Improvement,Average
Susan Rodriguez,96.9,70,74,99,Sports,54908.0,No,6.9,Placed,81.0,safe,Good
Jacob Perez,72.1,48,55,65,Debate,55755.0,Yes,5.2,Not Placed,56.0,Need Improvement,Average
Cynthia Wright,71.1,50,88,90,NCC,38216.0,Yes,5.9,Placed,76.0,safe,Good
Jessica Ramirez,84.8,80,90,82,Sports,65251.0,No,7.0,Placed,84.0,safe,Good
Jennifer Thomas,86.8,66,64,62,NCC,28384.0,Yes,2.7,Placed,64.0,safe,Average
Rebecca Wilson,79.2,72,79,100,NCC,123718.0,Yes,6.6,Placed,83.66666666666667,safe,Good
Sarah Thompson,92.4,38,54,46,Debate,29169.0,Yes,2.9,Not Placed,46.0,Need Improvement,Poor
Steven Sanchez,77.8,78,78,54,Sports,36242.0,Yes,5.2,Placed,70.0,safe,Good
Kenneth Brown,81.7,70,75,96,Music,87293.0,No,7.9,Placed,80.33333333333333,safe,Good
Sandra Williams,80.3,35,80,70,NCC,77481.0,No,4.4,Not Placed,61.666666666666664,safe,Average
Stephanie Wright,51.2,80,66,84,Debate,65450.0,Yes,5.6,Placed,76.66666666666667,safe,Good
Carol Robinson,83.7,52,60,82,Music,72177.0,Yes,4.8,Placed,64.66666666666667,safe,Average
Joseph Martinez,70.9,58,65,66,Debate,33358.0,Yes,4.6,Placed,63.0,safe,Average
Michelle Martin,96.8,84,83,100,Music,69664.0,Yes,8.5,Placed,89.0,safe,Excellent
Jason Robinson,85.2,71,79,81,Music,74747.0,Yes,6.8,Placed,77.0,safe,Good
Gary Martin,83.2,59,76,100,Sports,86019.0,Yes,6.7,Placed,78.33333333333333,safe,Good
Amanda Martinez,76.3,59,61,66,Sports,90574.0,Yes,6.4,Placed,62.0,safe,Average
Nicholas Gonzalez,73.9,31,56,77,Volunteer,37265.0,No,4.4,Not Placed,54.666666666666664,Need Improvement,Average
Andrew White,72.8,58,66,59,Music,62655.0,Yes,4.9,Placed,61.0,safe,Average
Betty Martinez,72.2,50,60,53,Music,79172.0,Yes,4.3,Placed,54.333333333333336,Need Improvement,Average
Betty Jones,85.4,58,55,57,Sports,90123.0,Yes,3.6,Not Placed,56.666666666666664,Need Improvement,Average
Sandra Scott,81.0,56,70,88,Music,64702.0,No,5.1,Placed,71.33333333333333,safe,Good
Nancy Nguyen,70.3,66,70,87,Volunteer,14022.0,Yes,5.7,Placed,74.33333333333333,safe,Good
Patricia Martin,77.5,52,77,84,Sports,79149.0,Yes,6.3,Placed,71.0,safe,Good
Richard Hill,100.0,66,79,91,Sports,59839.0,Yes,6.6,Placed,78.66666666666667,safe,Good
Charles Smith,80.1,63,59,44,Sports,88058.0,Yes,3.5,Not Placed,55.333333333333336,Need Improvement,Average
Joshua Williams,78.7,50,70,80,Sports,10158.0,Yes,6.9,Placed,66.66666666666667,safe,Average
Gary Miller,84.0,73,78,68,Sports,83179.0,Yes,6.5,Placed,73.0,safe,Good
Carol Perez,100.0,61,69,75,Sports,85192.0,Yes,5.8,Placed,68.33333333333333,safe,Average
Andrew Lee,86.4,63,67,74,Sports,111535.0,No,5.5,Placed,68.0,safe,Average
Kenneth King,80.6,69,77,81,Volunteer,98550.0,No,6.7,Placed,75.66666666666667,safe,Good
Charles Nguyen,85.1,45,53,59,Music,44056.0,No,3.1,Not Placed,52.333333333333336,Need Improvement,Average
Sarah Hill,90.8,47,66,46,Volunteer,114652.0,Yes,3.8,Placed,53.0,Need Improvement,Average
Stephanie Rodriguez,80.3,76,69,100,Music,81275.0,Yes,8.1,Placed,81.66666666666667,safe,Good
Kimberly Young,89.1,69,82,88,Music,99982.0,Yes,8.0,Placed,79.66666666666667,safe,Good
Ryan Ramirez,85.3,44,47,20,Debate,53167.0,No,2.1,Not Placed,37.0,At risk,Poor
Richard Torres,64.4,52,57,77,Debate,9587.0,Yes,5.6,Not Placed,62.0,safe,Average
Carol Moore,80.0,42,56,62,Music,78938.0,Yes,3.2,Not Placed,53.333333333333336,Need Improvement,Average
Cynthia Lee,90.8,60,63,63,Music,68501.0,Yes,4.4,Placed,62.0,safe,Average
Rebecca Brown,67.6,70,57,94,Volunteer,70858.0,No,7.8,Not Placed,73.66666666666667,safe,Good
Michael Young,93.0,71,86,75,Debate,45423.0,Yes,5.6,Placed,77.33333333333333,safe,Good
Lisa Thompson,100.0,75,76,76,Sports,70345.0,Yes,6.4,Placed,75.66666666666667,safe,Good
Sandra Garcia,76.9,86,83,100,Sports,88910.0,Yes,8.3,Placed,89.66666666666667,safe,Excellent
Joshua Thompson,71.2,63,61,67,Volunteer,62279.0,Yes,5.4,Placed,63.666666666666664,safe,Average
Carol Allen,86.3,90,96,97,NCC,32048.0,Yes,7.5,Placed,94.33333333333333,safe,Excellent
Stephanie Robinson,58.6,62,65,49,Volunteer,54502.0,Yes,4.1,Placed,58.666666666666664,Need Improvement,Average
Stephanie Young,67.6,71,53,55,Sports,50409.0,Yes,4.9,Not Placed,59.666666666666664,Need Improvement,Average
Laura Garcia,97.8,60,53,68,Sports,64702.0,Yes,6.0,Not Placed,60.333333333333336,safe,Average
Michelle Wilson,93.2,65,75,67,Debate,64702.0,Yes,3.4,Placed,69.0,safe,Average
William King,81.3,88,94,100,NCC,87334.0,Yes,9.3,Placed,94.0,safe,Excellent
Amy King,64.8,81,86,91,Sports,58072.0,Yes,8.4,Placed,86.0,safe,Excellent
Paul Allen,86.4,31,38,42,Sports,25782.0,No,2.6,Not Placed,37.0,At risk,Poor
Michelle Harris,68.0,51,67,89,Music,72073.0,Yes,6.6,Placed,69.0,safe,Average
Edward Clark,92.0,54,52,56,NCC,132332.0,No,4.2,Not Placed,54.0,Need Improvement,Average
Edward Hernandez,83.0,43,69,66,Sports,71213.0,No,4.6,Placed,59.333333333333336,Need Improvement,Average
Jason Davis,71.6,75,75,74,Music,86393.0,Yes,5.2,Placed,74.66666666666667,safe,Good
Michael Hill,89.9,76,68,99,Sports,76733.0,Yes,8.0,Placed,81.0,safe,Good
George Martin,59.8,55,53,63,Debate,19826.0,Yes,3.6,Not Placed,57.0,Need Improvement,Average
Brian Harris,58.6,24,52,52,Volunteer,94061.0,No,4.1,Not Placed,42.666666666666664,Need Improvement,Poor
Lisa Rodriguez,72.0,55,74,100,Debate,58579.0,Yes,7.0,Placed,76.33333333333333,safe,Good
Elizabeth Young,72.2,44,62,53,Debate,32565.0,Yes,2.2,Placed,53.0,Need Improvement,Average
Emma Lopez,82.4,52,57,72,Sports,73713.0,Yes,4.3,Not Placed,60.333333333333336,safe,Average
Amy Harris,80.1,84,91,100,Volunteer,67755.0,No,7.3,Placed,91.66666666666667,safe,Excellent
Sharon Williams,91.6,60,86,72,NCC,79332.0,Yes,5.3,Placed,72.66666666666667,safe,Good
David Hernandez,82.6,37,53,43,NCC,23998.0,Yes,2.8,Not Placed,44.333333333333336,Need Improvement,Poor
Rebecca Thomas,91.4,65,71,87,Music,83334.0,Yes,5.5,Placed,74.33333333333333,safe,Good
Donna King,69.0,69,78,74,Debate,17388.0,Yes,6.6,Placed,73.66666666666667,safe,Good
Rebecca Davis,83.3,64,75,100,Sports,28295.0,No,7.3,Placed,79.66666666666667,safe,Good
Patricia Jackson,70.0,54,59,58,Volunteer,114429.0,Yes,3.6,Not Placed,57.0,Need Improvement,Average
William Williams,56.2,42,48,59,Debate,106354.0,No,3.1,Not Placed,49.666666666666664,Need Improvement,Poor
Ryan Flores,64.2,37,46,46,Sports,86177.0,No,3.0,Not Placed,43.0,Need Improvement,Poor
Joshua Walker,94.7,61,57,41,Sports,88389.0,Yes,2.1,Not Placed,53.0,Need Improvement,Average
Joshua Torres,80.8,45,62,54,Sports,51974.0,No,4.1,Placed,53.666666666666664,Need Improvement,Average
Brian Martin,86.1,60,74,79,Debate,32087.0,Yes,3.6,Placed,71.0,safe,Good
Rebecca Garcia,87.9,51,51,67,Sports,39933.0,No,3.7,Not Placed,56.333333333333336,Need Improvement,Average
Patricia Smith,77.3,64,66,82,NCC,8000.0,Yes,6.4,Placed,70.66666666666667,safe,Good
Melissa Scott,81.8,51,80,54,Music,72915.0,Yes,4.6,Not Placed,61.666666666666664,safe,Average
Mary White,74.8,53,44,45,Debate,74746.0,Yes,3.2,Not Placed,47.333333333333336,Need Improvement,Poor
Ryan Garcia,87.2,54,60,92,Sports,57126.0,No,7.1,Placed,68.66666666666667,safe,Average
Ashley Torres,81.7,65,69,62,Sports,47509.0,Yes,3.6,Placed,65.33333333333333,safe,Average
Richard Williams,61.5,42,38,49,Music,67823.0,Yes,3.3,Not Placed,43.0,Need Improvement,Poor
Brian Davis,83.2,47,58,67,NCC,76535.0,No,2.9,Not Placed,57.333333333333336,Need Improvement,Average
Daniel Lee,67.9,43,57,72,Sports,94356.0,No,4.3,Not Placed,57.333333333333336,Need Improvement,Average
Laura Young,80.0,58,76,78,Sports,111237.0,Yes,5.5,Placed,70.66666666666667,safe,Good
Linda Jones,73.5,35,46,46,Debate,96826.0,Yes,2.0,Not Placed,42.333333333333336,Need Improvement,Poor
Elizabeth Thompson,76.2,71,70,69,Debate,93633.0,Yes,4.3,Placed,70.0,safe,Good
Sandra White,68.8,19,46,92,Sports,34628.0,Yes,4.0,Not Placed,52.333333333333336,Need Improvement,Average
Anthony Allen,100.0,54,69,75,NCC,93190.0,Yes,4.3,Placed,66.0,safe,Average
Rebecca Harris,80.7,50,49,54,Volunteer,51626.0,No,4.4,Not Placed,51.0,Need Improvement,Average
Nancy Harris,86.8,48,72,67,Volunteer,101520.0,Yes,5.9,Placed,62.333333333333336,safe,Average
William Clark,79.5,42,55,52,Sports,77183.0,No,4.0,Not Placed,49.666666666666664,Need Improvement,Poor
Carol Jones,79.6,53,45,37,Sports,58427.0,Yes,2.8,Not Placed,45.0,Need Improvement,Poor
Donna Smith,61.7,80,80,73,Sports,66776.0,No,7.2,Placed,77.66666666666667,safe,Good
Rebecca Nguyen,85.5,52,52,49,NCC,70660.0,Yes,3.0,Not Placed,51.0,Need Improvement,Average
Betty Wright,73.1,59,64,88,Music,114917.0,No,6.5,Placed,70.33333333333333,safe,Good
Rebecca Anderson,75.0,51,71,99,NCC,62309.0,Yes,7.1,Placed,73.66666666666667,safe,Good
Mark Johnson,83.9,55,69,69,Sports,71491.0,No,5.9,Placed,64.33333333333333,safe,Average
Anthony Sanchez,90.1,67,87,97,NCC,59165.0,Yes,7.3,Placed,83.66666666666667,safe,Good
Melissa Thompson,83.5,55,70,73,NCC,64702.0,Yes,3.8,Placed,66.0,safe,Average
Elizabeth Scott,75.5,61,68,79,Volunteer,60426.0,No,5.5,Placed,69.33333333333333,safe,Average
David Hill,80.0,44,29,31,Sports,116878.0,Yes,3.4,Not Placed,34.666666666666664,At risk,Poor
Steven Nguyen,70.9,84,82,84,Volunteer,57616.0,Yes,6.8,Placed,83.33333333333333,safe,Good
Mary Ramirez,46.0,47,52,91,Debate,35365.0,Yes,7.4,Not Placed,63.333333333333336,safe,Average
William Torres,91.4,53,74,61,NCC,97661.0,Yes,3.4,Placed,62.666666666666664,safe,Average
Lisa Ramirez,56.6,60,65,71,Sports,64195.0,Yes,4.7,Placed,65.33333333333333,safe,Average
Steven Miller,73.6,86,92,100,Sports,41460.0,Yes,9.2,Placed,92.66666666666667,safe,Excellent
Richard Lopez,87.7,80,0,85,Sports,64702.0,Yes,6.1,Placed,55.0,Need Improvement,Average
Jennifer Thomas,87.5,60,96,100,Sports,52223.0,No,7.9,Placed,85.33333333333333,safe,Excellent
Ryan Lopez,100.0,68,67,73,Debate,84070.0,Yes,4.2,Placed,69.33333333333333,safe,Average
Kenneth Hill,85.2,47,54,58,Sports,55961.0,No,3.2,Not Placed,53.0,Need Improvement,Average
Mary Lewis,74.1,80,70,92,Debate,65619.0,Yes,7.8,Placed,80.66666666666667,safe,Good
Gary Lopez,90.7,85,93,81,Volunteer,90032.0,Yes,5.3,Placed,86.33333333333333,safe,Excellent
Sarah Johnson,81.2,48,69,62,NCC,80338.0,No,4.1,Placed,59.666666666666664,Need Improvement,Average
Nancy Lee,76.8,63,62,60,NCC,88344.0,Yes,3.8,Placed,61.666666666666664,safe,Average
Steven Anderson,100.0,52,55,66,Volunteer,102383.0,No,4.2,Not Placed,57.666666666666664,Need Improvement,Average
Susan Harris,72.7,66,86,86,Music,103127.0,Yes,5.6,Placed,79.33333333333333,safe,Good
Susan Garcia,88.8,58,64,87,Sports,45160.0,Yes,6.0,Placed,69.66666666666667,safe,Average
Elizabeth Jackson,67.7,59,49,76,Debate,54565.0,Yes,5.8,Not Placed,61.333333333333336,safe,Average
Donna Clark,77.1,52,77,62,NCC,87111.0,Yes,4.9,Placed,63.666666666666664,safe,Average
Edward Brown,84.3,42,61,46,Sports,25769.0,No,2.1,Placed,49.666666666666664,Need Improvement,Poor
Joseph Garcia,87.4,48,56,44,Sports,64702.0,Yes,3.1,Not Placed,49.333333333333336,Need Improvement,Poor
Elizabeth Davis,96.6,69,88,100,NCC,50894.0,Yes,6.1,Placed,85.66666666666667,safe,Excellent
Sarah Walker,71.5,21,39,35,Sports,43253.0,No,1.9,Not Placed,31.666666666666668,At risk,Poor
Laura Perez,77.7,91,90,100,Sports,70016.0,No,8.0,Placed,93.66666666666667,safe,Excellent
Thomas Davis,79.1,50,58,40,Debate,95208.0,Yes,3.8,Not Placed,49.333333333333336,Need Improvement,Poor
Michelle King,77.1,57,64,86,Sports,61563.0,No,7.1,Placed,69.0,safe,Average
Rebecca Brown,72.3,50,61,73,Sports,49812.0,Yes,5.6,Placed,61.333333333333336,safe,Average
